"USAF","WBAN","NAME","CTRY","STATE","ICAO","LAT","LON","ELEV","BEGIN","END"
20950,99999,"PAJALA","SW","","",67.2,23.383,171,1955,2015
21010,99999,"HEMAVAN","SW","","ESUT",65.806,15.083,458.1,1973,2015
21020,99999,"STEKENJOKK","SW","","",65.1,14.517,1036,1958,2015
21190,99999,"KVIKKJOKK ARRENJARKA","SW","","",66.883,18.017,320,1973,2015
21230,99999,"JAKKVIK","SW","","",66.317,17.1,552,1973,2015
21240,99999,"ARJEPLOG","SW","","",66.05,17.833,432,1977,2015
21260,99999,"GUNNARN","SW","","",65.017,17.7,251,1973,2015
21300,99999,"ROPARUDDEN","SW","","",66.483,16.417,481,1973,2015
21350,99999,"BURESJON","SW","","",65.567,17.867,393,1973,2015
21410,99999,"TJAKAAPE","SW","","",66.317,19.217,582,1973,2015
21470,99999,"MALA-BRANNAN","SW","","",65.15,18.6,363,1973,2015
21510,99999,"JOKKMOKK FPL","SW","","",66.483,20.167,275,1973,2015
21540,99999,"VIDSEL","SW","","ESPE",65.875,20.15,182,1977,2015
21610,99999,"NATTAVAARA","SW","","",66.75,20.933,327,1973,2015
21710,99999,"BODEN","SW","","",65.817,21.633,18,1979,2015
21860,99999,"KALLAX","SW","","ESPA",65.544,22.122,19.8,1977,2015
21880,99999,"RODKALLEN","SW","","",65.317,22.383,2,1973,2015
22070,99999,"STORLIEN-VISJOVALEN A","SW","","",63.283,12.117,583,1973,2015
22090,99999,"SYLARNA","SW","","",63.05,12.283,1030,1973,2015
22160,99999,"MATTMAR","SW","","",63.3,13.883,365,1973,2015
22260,99999,"OSTERSUND","SW","","ESNZ",63.2,14.5,376,1935,2015
22300,99999,"GUBBHOGEN","SW","","",64.217,15.55,310,1973,2015
22360,99999,"HALLHAXASEN","SW","","",63.767,15.333,376,1977,2015
22420,99999,"HOTING","SW","","",64.083,16.233,241,1973,2015
22430,99999,"JUNSELE","SW","","",63.683,16.95,214,1973,2015
22470,99999,"KRANGEDE","SW","","",63.15,16.167,184,1973,2015
22540,99999,"ASELE","SW","","",64.167,17.317,308,1977,2015
22590,99999,"KRAMFORS SOLLEFTEA","SW","","ESNK",63.049,17.769,10.4,1977,2015
22600,99999,"VASTMARKUM","SW","","",63.133,18.25,143,1973,2015
22610,99999,"LYCKSELE","SW","","",64.55,18.717,211,1973,2015
22670,99999,"ORNSKOLDSVIK","SW","","ESNO",63.408,18.99,107.9,1979,2015
22840,99999,"JARNASKLUBB","SW","","",63.433,19.683,7,1973,2015
22860,99999,"UMEA","SW","","ESNU",63.792,20.283,7.3,1977,2015
22930,99999,"SKELLEFTEA","SW","","ESNS",64.625,21.077,47.9,1979,2015
23070,99999,"IDRE FJALL","SW","","",61.883,12.85,869,1973,2015
23210,99999,"ALVDALEN","SW","","",61.25,14.033,253,1973,2015
23250,99999,"KLOVSJOHOJDEN","SW","","",62.5,14.15,803,1973,2015
23290,99999,"HAMRA","SW","","",61.667,15,455,1973,2015
23370,99999,"NORRHOG","SW","","",62.267,15.667,320,1973,2015
23430,99999,"TORPSHAMMAR","SW","","",62.5,16.283,100,1973,2015
23660,99999,"SUNDSVALL HARNOSAND","SW","","ESNN",62.528,17.444,4.9,1977,2015
23820,99999,"LUNGO","SW","","",62.65,18.1,18,1973,2015
24170,99999,"PALGRUNDEN","SW","","",58.75,13.15,50,1978,2015
24180,99999,"KARLSTAD","SW","","ESOK",59.445,13.337,107.3,1935,2015
24350,99999,"BORLANGE","SW","","ESSD",60.422,15.515,153.3,1979,2015
24430,99999,"ENKOPING","SW","","",59.65,17.117,26,1979,2015
24460,99999,"VASTERAS","SW","","ESOW",59.589,16.634,6.4,1977,2015
24580,99999,"UPPSALA","SW","","ESCM",59.897,17.589,20.7,1935,2015
24600,99999,"ARLANDA","SW","","ESSA",59.652,17.919,41.8,1977,2015
24640,99999,"BROMMA","SW","","ESSB",59.354,17.942,14.3,1931,2015
24960,99999,"SVENSKA HOGARNA","SW","","",59.45,19.5,12,1977,2015
25010,99999,"VADEROARNA","SW","","",58.583,11.067,24,1977,2015
25120,99999,"SAVE","SW","","ESGP",57.775,11.87,18,1935,2015
25140,99999,"ARVIDSJAUR","SW","","ESNX",65.59,19.282,379.5,1977,2015
25180,99999,"NIDINGEN","SW","","",57.3,11.9,2,1973,2015
25200,99999,"SATENAS","SW","","ESIB",58.426,12.714,55.2,1977,2015
25210,99999,"BERGARUD","SW","","",58.6,12.417,55,1977,2015
25260,99999,"LANDVETTER","SW","","ESGG",57.663,12.28,154.2,1977,2015
25360,99999,"RANGEDALA","SW","","",57.783,13.167,299,1977,2015
25440,99999,"KARLSBORG","SW","","",58.517,14.517,94,1977,2015
25500,99999,"JONKOPING","SW","","ESGJ",57.758,14.069,225.9,1931,2015
25560,99999,"HAGSHULT","SW","","ESMV",57.292,14.137,169.5,1977,2015
25620,99999,"MALMEN","SW","","ESCF",58.402,15.526,93.9,1977,2015
25650,99999,"HULTSFRED","SW","","ESSF",57.526,15.823,111.6,1979,2015
25660,99999,"MALILLA","SW","","",57.4,15.817,98,1973,2015
25700,99999,"NORRKOPING/BRAVALLA","SW","","",58.617,16.117,33,1977,2015
25710,99999,"KUNGSANGEN","SW","","ESSP",58.586,16.251,9.8,1977,2015
25900,99999,"VISBY","SW","","ESSV",57.663,18.346,50,1931,2015
26040,99999,"HALMSTAD","SW","","ESMT",56.691,12.82,30.8,1977,2015
26070,99999,"ANGELHOLM/BARKAKRA","SW","","ESDB",56.283,12.083,18,1977,2015
26160,99999,"FALSTERBO","SW","","",55.383,12.817,5,1977,2015
26220,99999,"LJUNGBY","SW","","",56.85,13.883,148,1977,2015
26350,99999,"MALMO","SW","","",55.567,13.067,21,1935,2015
26360,99999,"STURUP","SW","","ESMS",55.53,13.372,71.9,1977,2015
26410,99999,"KRONOBERG","SW","","ESMX",56.929,14.728,185.9,1979,2015
26510,99999,"KRISTIANSTAD","SW","","ESMK",55.922,14.086,23.2,1979,2015
26640,99999,"RONNEBY","SW","","ESDF",56.267,15.265,58.2,1977,2015
26720,99999,"KALMAR","SW","","ESMQ",56.686,16.288,5.2,1935,2015
28010,99999,"ENONTEKIO KILPISJARVI","FI","","",69.05,20.783,482.7,1979,2015
28050,99999,"UTSJOKI KEVO","FI","","",69.75,27,106.3,1973,2015
28070,99999,"IVALO","FI","","EFIV",68.607,27.405,146.6,1952,2015
28230,99999,"MUONIO ALAMUONIO","FI","","",67.967,23.683,252.6,1973,2015
28360,99999,"SODANKYLA","FI","","EFSO",67.395,26.619,183.5,1917,2015
28440,99999,"PELLO CENTRE","FI","","EFPE",66.767,23.967,85.9,1973,2015
28450,99999,"ROVANIEMI","FI","","EFRO",66.565,25.83,196.6,1973,2015
28640,99999,"KEMI TORNIO","FI","","EFKE",65.782,24.599,18.6,1952,2015
28690,99999,"KUUSAMO","FI","","EFKS",65.988,29.239,264,1909,2015
28740,99999,"HAILUOTO ISLAND","FI","","EFHL",65.033,24.8,6,1973,2015
28750,99999,"OULU","FI","","EFOU",64.93,25.355,14.3,1906,2015
28970,99999,"KAJAANI","FI","","EFKI",64.285,27.692,147.2,1916,2015
29030,99999,"KRUUNUPYY","FI","","EFKK",63.721,23.143,25.3,1960,2015
29070,99999,"KALAJOKI ULKOKALLA","FI","","",64.333,23.45,5,1901,2015
29100,99999,"MUSTASAARI VALASSAARET","FI","","",63.433,21.067,11,1973,2015
29110,99999,"VAASA","FI","","EFVA",63.051,21.762,5.8,1917,2015
29130,99999,"KAUHAVA","FI","","EFKA",63.127,23.051,46,1973,2015
29150,99999,"VIITASAARI","FI","","EFVI",63.083,25.867,132,1973,2015
29170,99999,"KUOPIO","FI","","EFKU",63.007,27.798,98.5,1906,2015
29190,99999,"LAPPEENRANTA HIEKKAPAKKA","FI","","",61.2,28.467,77,1973,2015
29240,99999,"AHTARI MYLLYMAKI","FI","","EFHT",62.533,24.217,159.7,1973,2015
29290,99999,"JOENSUU","FI","","EFJO",62.663,29.608,121.3,1952,2015
29350,99999,"JYVASKYLA","FI","","EFJY",62.399,25.678,139.9,1917,2015
29420,99999,"KANKAANPAA NIINISALO PUOLVOIM","FI","","",61.833,22.467,124.8,1952,2015
29430,99999,"TAMPERE SIILINKARI","FI","","",61.517,23.75,98,1973,2015
29440,99999,"TAMPERE PIRKKALA","FI","","EFTP",61.414,23.604,118.9,1906,2015
29450,99999,"HALLI","FI","","EFHA",61.856,24.787,146,1973,2015
29470,99999,"MIKKELI","FI","","EFMI",61.687,27.202,100.3,1973,2015
29490,99999,"SOMERO SALKOLA","FI","","",60.65,23.8,143,1973,2015
29500,99999,"PARAINEN FAGERHOLM","FI","","",60.117,21.7,4.5,1901,2015
29520,99999,"PORI","FI","","EFPO",61.462,21.8,13.4,1952,2015
29580,99999,"LAPPEENRANTA","FI","","EFLP",61.045,28.144,106.4,1973,2015
29630,99999,"JOKIOINEN","FI","","",60.817,23.5,103,1957,2015
29650,99999,"LAHTI LAUNE","FI","","",60.967,25.633,78.7,1973,2015
29660,99999,"UTTI","FI","","EFUT",60.896,26.938,103.3,1973,2015
29700,99999,"MARIEHAMN","FI","","EFMA",60.122,19.898,5.2,1917,2015
29720,99999,"TURKU","FI","","EFTU",60.514,22.263,49.1,1901,2015
29740,99999,"HELSINKI VANTAA","FI","","EFHK",60.317,24.963,54.6,1952,2015
29750,99999,"HELSINKI MALMI","FI","","EFHF",60.255,25.043,17.4,1917,2015
29760,99999,"KOTKA RANKKI","FI","","",60.383,26.967,13.1,1952,2015
29800,99999,"LEMLAND NYHAMN","FI","","",59.967,19.95,10,1973,2015
29810,99999,"PARAINEN UTO","FI","","",59.783,21.367,6.8,1901,2015
29820,99999,"HANKO RUSSARO","FI","","",59.767,22.95,6.5,1906,2015
29840,99999,"INKOO BAGASKAR","FI","","",59.933,24.017,12,1973,2015
30020,99999,"BALTASOUND NO.2","UK","","EGPW",60.75,-0.85,15,1973,2015
30030,99999,"SUMBURGH","UK","","EGPB",59.879,-1.296,6.1,1977,2015
30050,99999,"LERWICK","UK","","",60.133,-1.183,84,1929,2015
30080,99999,"FAIR ISLE","UK","","",59.533,-1.633,57,1973,2015
30100,99999,"SULE SKERRY","UK","","",59.083,-4.4,12,1973,2015
30170,99999,"KIRKWALL","UK","","EGPA",58.958,-2.905,15.5,1973,2015
30220,99999,"BENBECULA","UK","","EGPL",57.481,-7.363,5.8,1973,2015
30260,99999,"STORNOWAY","UK","","EGPO",58.216,-6.331,7.9,1929,2015
30590,99999,"INVERNESS","UK","","EGPE",57.543,-4.048,9.4,1973,2015
30660,99999,"KINLOSS","UK","","EGQK",57.649,-3.561,6.7,1973,2015
30680,99999,"LOSSIEMOUTH","UK","","EGQS",57.705,-3.339,12.8,1973,2015
30750,99999,"WICK","UK","","EGPC",58.459,-3.093,38.4,1929,2015
30910,99999,"DYCE","UK","","EGPD",57.202,-2.198,65.5,1926,2015
31000,99999,"TIREE","UK","","EGPU",56.499,-6.869,11.6,1929,2015
31110,99999,"MACHRIHANISH","UK","","EGQJ",55.433,-5.7,10,1973,2015
31140,99999,"OBAN","UK","","EGEO",56.417,-5.467,4,1978,2015
31350,99999,"PRESTWICK","UK","","EGPK",55.509,-4.587,19.8,1944,2015
31400,99999,"GLASGOW","UK","","EGPF",55.872,-4.433,7.9,1929,2015
31600,99999,"EDINBURGH","UK","","EGPH",55.95,-3.373,41.1,1973,2015
31620,99999,"ESKDALEMUIR","UK","","",55.317,-3.2,242,1929,2015
31710,99999,"LEUCHARS","UK","","EGQL",56.373,-2.868,11.6,1929,2015
32040,99999,"ISLE OF MAN","IM","","EGNS",54.083,-4.624,16.8,1973,2015
32220,99999,"CARLISLE","UK","","EGNC",54.938,-2.809,57.9,1973,2015
32250,99999,"SHAP","UK","","",54.5,-2.683,255,1978,2015
32400,99999,"BOULMER","UK","","EGQM",55.424,-1.603,21.3,1975,2015
32570,99999,"LEEMING","UK","","EGXE",54.292,-1.535,40.2,1973,2015
32635,99999,"DURHAM TEES VALLEY AIRPORT","UK","","EGNV",54.509,-1.429,36.6,1973,2015
32660,99999,"LINTON ON OUSE","UK","","EGXU",54.049,-1.253,16.2,1973,2015
32810,99999,"FYLINGDALES","UK","","",54.367,-0.667,262,1973,2015
33010,99999,"MONA","UK","","",53.267,-4.367,62,1929,2015
33020,99999,"VALLEY","UK","","EGOV",53.248,-4.535,11.3,1926,2015
33180,99999,"BLACKPOOL","UK","","EGNH",53.772,-3.029,10.4,1973,2015
33340,99999,"MANCHESTER","UK","","EGCC",53.354,-2.275,78.3,1933,2015
33440,99999,"BINGLEY NO.2","UK","","",53.817,-1.867,267,1973,2015
33460,99999,"EMLEY MOOR NO 2","UK","","",53.6,-1.667,267,1976,2015
33540,99999,"NOTTINGHAM/WATNALL","UK","","",53,-1.25,117,1973,2015
33730,99999,"SCAMPTON","UK","","EGXP",53.308,-0.551,61.6,1973,2015
33735,99999,"HUMBERSIDE","UK","","EGNJ",53.574,-0.351,36.9,1975,2015
33770,99999,"WADDINGTON","UK","","EGXW",53.166,-0.524,70.4,1950,2015
33790,99999,"CRANWELL","UK","","EGYD",53.03,-0.483,66.4,1929,2015
33910,99999,"CONINGSBY","UK","","EGXC",53.093,-0.166,7.6,1943,2015
34140,99999,"SHAWBURY","UK","","EGOS",52.798,-2.668,75.9,1973,2015
34185,99999,"NOTTINGHAM EAST MIDLANDS","UK","","EGNX",52.831,-1.328,93.3,1973,2015
34620,99999,"WITTERING","UK","","EGXT",52.613,-0.476,83.2,1973,2015
34820,99999,"MARHAM","UK","","EGYM",52.648,0.551,22.9,1949,2015
35020,99999,"ABERPORTH","UK","","EGUC",52.133,-4.567,134,1973,2015
35220,99999,"HEREFORD/CREDENHILL","UK","","",52.083,-2.8,76,1929,2015
35290,99999,"PERSHORE","UK","","",52.15,-2.033,31,1978,2015
35340,99999,"BIRMINGHAM","UK","","EGBB",52.454,-1.748,99.7,1973,2015
35660,99999,"WYTON","UK","","EGUY",52.357,-0.108,41.1,1950,2015
35715,99999,"CAMBRIDGE","UK","","EGSC",52.205,0.175,14.3,1977,2015
35900,99999,"WATTISHAM","UK","","EGUW",52.127,0.956,86.6,1973,2015
36040,99999,"MILFORD HAVEN CONSERVANCY BOARD","UK","","",51.7,-5.05,32,1973,2015
36090,99999,"MUMBLES HEAD","UK","","",51.567,-3.983,32,1973,2015
36280,99999,"FILTON","UK","","",51.517,-2.583,59,1937,2015
36333,99999,"GLOUCESTERSHIRE","UK","","EGBJ",51.894,-2.167,30.8,1977,2015
36440,99999,"FAIRFORD","UK","","EGVA",51.682,-1.79,87.2,1952,2015
36490,99999,"BRIZE NORTON","UK","","EGVN",51.75,-1.584,87.8,1951,2015
36580,99999,"BENSON","UK","","EGUB",51.616,-1.096,68.9,1973,2015
36584,99999,"COLERNE","UK","","EGUO",51.439,-2.286,180.7,1942,2015
36720,99999,"NORTHOLT","UK","","EGWU",51.553,-0.418,37.8,1973,2015
36830,99999,"STANSTED","UK","","EGSS",51.885,0.235,106.1,1973,2015
36930,99999,"SHOEBURYNESS  LANDWICK","UK","","",51.55,0.833,3,1929,2015
37070,99999,"CHIVENOR","UK","","EGDC",51.087,-4.15,8.2,1973,2015
37150,99999,"CARDIFF","UK","","EGFF",51.397,-3.343,67.1,1973,2015
37400,99999,"LYNEHAM","UK","","EGDL",51.505,-1.993,156.4,1973,2015
37460,99999,"BOSCOMBE DOWN","UK","","EGDM",51.152,-1.747,124.1,1931,2015
37490,99999,"MIDDLE WALLOP","UK","","EGVP",51.15,-1.567,91,1973,2015
37610,99999,"ODIHAM","UK","","EGVO",51.234,-0.943,123.4,1973,2015
37630,99999,"BRACKNELL/BEAUFORT","UK","","EGRR",51.383,-0.783,74,1973,2015
37720,99999,"HEATHROW","UK","","EGLL",51.478,-0.461,25.3,1948,2015
37760,99999,"GATWICK","UK","","EGKK",51.148,-0.19,61.6,1973,2015
37960,99999,"LANGDON BAY","UK","","",51.133,1.35,117,1973,2015
37970,35047,"MANSTON","UK","","EGMH",51.35,1.333,50,1930,2015
38080,99999,"CAMBORNE","UK","","",50.217,-5.317,88,1973,2015
38090,99999,"CULDROSE","UK","","EGDR",50.086,-5.256,81.4,1973,2015
